################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0258511000901802E+01 a       342     0    18     1     2
  1.2087543343389751E+01 a       343     0    18     1     3
  4.2944185199058014E+00 a       344     0    18     1     4
 -2.3860612122370775E+00 a       345     0    18     1     5
  5.3673459860615162E+00 a       346     0    18     1     6
 -1.9018178690125644E+01 a       347     0    18     1     7
  2.8592528927652543E+00 a       348     0    18     1     8
  1.1127584600561424E+00 a       349     0    18     1     9
 -9.7893489248734227E+00 a       350     0    18     1    10
 -7.2313877989926256E+00 a       351     0    18     1    11
 -4.3968762253119715E+00 a       352     0    18     1    12
  8.0217708442664239E+00 a       353     0    18     1    13
 -1.6100955590600655E+01 a       354     0    18     1    14
 -1.0037858289855217E+01 a       355     0    18     1    15
  1.5700721232003563E+01 a       356     0    18     1    16
  2.4570152494428671E-01 a       357     0    18     1    17
 -3.6670281266958014E+01 a       358     0    18     1    18
 -5.5535199517638549E+00 a       359     0    18     1    19
 -4.4138380878600216E+00 a       360     0    18     1    20
  5.8052947900207552E-01 a       361     0    19     1     1
 -1.0144209518370824E+00 a       362     0    19     1     2
 -3.2483515843024463E-01 a       363     0    19     1     3
  1.5415236874461380E+00 a       364     0    19     1     4
  1.1670567971553809E+00 a       365     0    19     1     5
 -2.4244172280698656E-01 a       366     0    19     1     6
  7.1691691700098490E+00 a       367     0    19     1     7
  2.0042903269683482E-01 a       368     0    19     1     8
 -8.6398462529654974E-01 a       369     0    19     1     9
  3.4983529095934567E+00 a       370     0    19     1    10
 -1.3315848318783308E+00 a       371     0    19     1    11
 -3.4199252875686650E+00 a       372     0    19     1    12
 -1.0569841770010906E+00 a       373     0    19     1    13
  4.8045178803059779E-01 a       374     0    19     1    14
 -1.6308828509376365E+00 a       375     0    19     1    15
  3.5547893146339566E+00 a       376     0    19     1    16
 -1.0002062636170275E+00 a       377     0    19     1    17
 -5.7998325169971943E-02 a       378     0    19     1    18
 -2.2933645866468098E+00 a       379     0    19     1    19
  2.6975888725576946E+00 a       380     0    19     1    20
  4.2431865708162402E+00 a       381     0    20     1     1
  1.7286637385375098E+01 a       382     0    20     1     2
  7.6297883364947490E+00 a       383     0    20     1     3
  4.7374430451313918E+00 a       384     0    20     1     4
 -1.1557285871633971E+00 a       385     0    20     1     5
  1.2290758441143653E+01 a       386     0    20     1     6
 -1.7924541517029489E+01 a       387     0    20     1     7
  2.5389797924478277E+00 a       388     0    20     1     8
  7.2994270775925756E+00 a       389     0    20     1     9
 -5.8384698303816132E+00 a       390     0    20     1    10
 -9.8662998453763393E+00 a       391     0    20     1    11
 -7.1981190870939988E+00 a       392     0    20     1    12
  1.1576147634000785E+01 a       393     0    20     1    13
 -3.3124414477970340E+01 a       394     0    20     1    14
 -5.2474275206682739E+00 a       395     0    20     1    15
  1.1364810639263782E+01 a       396     0    20     1    16
  3.5931222977567652E+00 a       397     0    20     1    17
 -6.0922312359229153E+01 a       398     0    20     1    18
 -8.3732120478560201E+00 a       399     0    20     1    19
 -2.0431939852992382E+01 a       400     0    20     1    20
 -7.1936830028053761E-02 a       401     0    21     1     1
  9.2398132078008566E-01 a       402     0    21     1     2
  2.5126148665764827E+00 a       403     0    21     1     3
 -3.9684799909318333E+00 a       404     0    21     1     4
 -2.4158767727677777E+00 a       405     0    21     1     5
  2.5164145142720038E+00 a       406     0    21     1     6
  3.2773361266058537E-01 a       407     0    21     1     7
  4.4956906413921232E+00 a       408     0    21     1     8
 -8.9317313634597317E-01 a       409     0    21     1     9
 -6.7700788829747331E+00 a       410     0    21     1    10
 -1.6432795423770492E+00 a       411     0    21     1    11
  2.1694203404158330E+00 a       412     0    21     1    12
 -6.9981679932134655E-01 a       413     0    21     1    13
 -7.7153289637294229E+00 a       414     0    21     1    14
 -6.0145811882241418E+00 a       415     0    21     1    15
  4.9685264308766541E+00 a       416     0    21     1    16
 -6.5577107143157152E+00 a       417     0    21     1    17
 -1.6396729866853200E+01 a       418     0    21     1    18
  4.4095503165559018E+00 a       419     0    21     1    19
 -7.8299146512941782E+00 a       420     0    21     1    20
 -1.5700524008174863E+00 a       421     0    22     1     1
 -7.3764098907462552E+00 a       422     0    22     1     2
 -1.7319872136937043E+01 a       423     0    22     1     3
 -7.0528962609839621E+00 a       424     0    22     1     4
 -6.8177292512789700E+00 a       425     0    22     1     5
 -1.1070740245209527E+00 a       426     0    22     1     6
 -2.4417436591991727E+01 a       427     0    22     1     7
 -4.3906108241584967E+00 a       428     0    22     1     8
  3.1920798561652095E+00 a       429     0    22     1     9
  5.9573238093842180E+00 a       430     0    22     1    10
  4.7708997548455150E+00 a       431     0    22     1    11
  9.9248275312578773E+00 a       432     0    22     1    12
  6.9617021526307115E+00 a       433     0    22     1    13
  1.8232612934071992E+00 a       434     0    22     1    14
 -5.2686908580054936E+00 a       435     0    22     1    15
 -1.8207967763487179E+01 a       436     0    22     1    16
  2.6086905549156892E+01 a       437     0    22     1    17
  3.7502733305798697E-01 a       438     0    22     1    18
  3.2583140064782614E+00 a       439     0    22     1    19
  3.7614804480690398E+00 a       440     0    22     1    20
 -2.2289374766692669E+00 a       441     0    23     1     1
 -3.2932271239956679E-01 a       442     0    23     1     2
  5.0941121439223149E+00 a       443     0    23     1     3
 -1.9782526302081695E+00 a       444     0    23     1     4
 -1.1266544248689616E+00 a       445     0    23     1     5
  6.2075480746749303E+00 a       446     0    23     1     6
 -6.0653512618373684E+00 a       447     0    23     1     7
  5.2912743985716988E+00 a       448     0    23     1     8
 -5.0175801830080076E+00 a       449     0    23     1     9
 -9.5368923683544360E-01 a       450     0    23     1    10
 -4.7069214315853261E+00 a       451     0    23     1    11
  1.9834361283191057E-01 a       452     0    23     1    12
 -2.3639867322065768E+00 a       453     0    23     1    13
 -5.7025657183710443E-01 a       454     0    23     1    14
 -4.8145526192560109E+00 a       455     0    23     1    15
  6.4663824309519735E-01 a       456     0    23     1    16
 -9.1481106049078209E-01 a       457     0    23     1    17
 -1.3723751817367564E+01 a       458     0    23     1    18
  3.5399054723178467E+00 a       459     0    23     1    19
 -8.2609937252568564E+00 a       460     0    23     1    20
 -1.9967061730133961E+00 a       461     0    24     1     1
 -2.2165391926334852E+00 a       462     0    24     1     2
  6.7618824285206092E-01 a       463     0    24     1     3
 -6.0312361819215621E-01 a       464     0    24     1     4
 -4.5685282079193434E-01 a       465     0    24     1     5
  3.5344249374792085E+00 a       466     0    24     1     6
 -2.5725922496166844E+00 a       467     0    24     1     7
  3.0440673365838440E+00 a       468     0    24     1     8
 -3.3800875568112798E+00 a       469     0    24     1     9
 -9.1579327545630626E-02 a       470     0    24     1    10
 -4.3567846905841829E+00 a       471     0    24     1    11
  1.1129743179955400E+00 a       472     0    24     1    12
 -1.2465258692097678E+00 a       473     0    24     1    13
  5.3171405136921224E-01 a       474     0    24     1    14
 -2.2185127157351738E+00 a       475     0    24     1    15
  5.1381329130296138E-01 a       476     0    24     1    16
 -1.4110157339335780E+00 a       477     0    24     1    17
 -4.5654751410549110E+00 a       478     0    24     1    18
  2.2807833447866868E+00 a       479     0    24     1    19
 -4.8859901808353436E+00 a       480     0    24     1    20
 -6.8833311522535245E-01 a       481     0    25     1     1
 -1.1408375068688463E+00 a       482     0    25     1     2
 -5.8765878399125504E-01 a       483     0    25     1     3
 -1.1899828005005632E-01 a       484     0    25     1     4
  8.5406158759579784E-02 a       485     0    25     1     5
  1.0395686230881436E+00 a       486     0    25     1     6
 -9.9528973283336500E-02 a       487     0    25     1     7
  7.7751523305206482E-01 a       488     0    25     1     8
 -1.0281809308978394E+00 a       489     0    25     1     9
  7.2039408395579763E-02 a       490     0    25     1    10
 -1.6793166944724500E+00 a       491     0    25     1    11
  6.6826509622275743E-01 a       492     0    25     1    12
 -8.4973780281366290E-02 a       493     0    25     1    13
  2.2125491292420052E-01 a       494     0    25     1    14
 -5.6944050651216986E-02 a       495     0    25     1    15
  8.0008761644230253E-01 a       496     0    25     1    16
 -7.3335777357760623E-01 a       497     0    25     1    17
  2.4684134404222788E-01 a       498     0    25     1    18
  4.5428267902450842E-01 a       499     0    25     1    19
 -1.2153604521751404E+00 a       500     0    25     1    20
 -5.4001053330307169E-01 a       501     0    26     1     1
 -5.3689868279839521E+00 a       502     0    26     1     2
 -4.4954562306923247E+00 a       503     0    26     1     3
  3.4743436374813832E+01 a       504     0    26     1     4
  1.5811900248318294E+01 a       505     0    26     1     5
 -2.1778556450674262E+01 a       506     0    26     1     6
 -2.6110948019120183E+01 a       507     0    26     1     7
 -3.7563729358290253E+01 a       508     0    26     1     8
 -1.4366183240412185E+00 a       509     0    26     1     9
  5.6167493252632475E+01 a       510     0    26     1    10
  8.5920748399533053E+00 a       511     0    26     1    11
